"chrom"	"seg"	"num.mark"	"nhet"	"cnlr.median"	"mafR"	"segclust"	"cnlr.median.clust"	"mafR.clust"	"start"	"end"	"cf.em"	"tcn.em"	"lcn.em"	"ID"	"parameter"	"purity"	"ploidy"
11	19	838	84	-0.113351757241317	0.122191610202978	5	-0.115908882555323	0.121465341020053	325018	133495650	0.294285720936665	1	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
12	20	112	6	0.540181883891916	0.290182053344627	17	0.540181883891916	NA	394490	12007343	0.300817654948285	5	NA	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
12	21	654	68	0.252374565268367	0.162033636897032	14	0.254060216814345	0.171411599781173	12007750	102813415	0.300817654948285	3	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
12	22	244	15	0.595960733548518	0.272963069749508	18	0.610232578644192	0.151777596128499	102869549	133263886	0.300817654948285	5	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
13	23	41	5	-0.182601540761144	-0.0165560070926445	3	-0.182986484720103	NA	19600200	26911850	0.125774916525052	1	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
13	24	315	35	0.0980709323653273	0.143385333292465	12	0.109160424654158	0.143385333292465	26923250	54073469	0.187100975754163	2	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
13	25	179	27	-0.102675950559885	-0.00634685830134203	4	-0.115908882555323	0.0194849031707369	55384646	112722200	0.13028380626565	1	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
14	26	312	44	0.0229207384354585	0.0298614107245652	8	0.0112717744847208	0.0158293955873159	19487495	105906073	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
15	27	563	75	0.0125517119514247	-0.000461154494372544	8	0.0112717744847208	0.0158293955873159	20488700	101094335	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
16	28	854	94	-0.124900684477514	0.00269002503392989	4	-0.115908882555323	0.0194849031707369	115041	89883007	0.13028380626565	1	0	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
17	29	1149	111	0.132206573786671	-0.00208064980596588	11	0.109160424654158	0.0116930458323222	114550	80783100	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
18	30	264	24	0.0371523206041694	0.049952492996591	10	0.0524842879864725	0.00854102386557795	724300	74463500	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
19	31	1108	114	0.0184649191297097	0.0155418150422836	8	0.0112717744847208	0.0158293955873159	1206800	59096340	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
20	32	353	36	0.211767872626399	0.0408835450976269	13	0.204496053241974	0.0358690184021264	345864	54945350	0.300817654948285	3	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
20	33	114	16	0.633631928959268	0.0721730538336536	18	0.610232578644192	0.151777596128499	54945828	62922700	0.300817654948285	6	2	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
21	34	220	42	-0.0082642921480087	0.0320781412724685	8	0.0112717744847208	0.0158293955873159	10995950	46253000	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
22	35	316	32	-0.0752288669094463	0.0963233209270588	6	-0.0611902732932473	0.0346571752413244	16346045	50355450	1	2	1	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
23	36	686	0	-0.0501843897423796	0	7	-0.0611902732932473	NA	451100	152861700	1	1	NA	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
24	37	68	0	-0.590535822098453	0	1	-0.590535822098453	NA	2655371	28773300	0.300817654948285	0	NA	"01-IM6_P-0025469-N01-IM6/coun"	"cval=75/300/100::snp.nbhd=250"	0.300817654948285	1.90694457529317
1	1	872	84	0.148972928713472	0.028509338885969	12	0.15718662711444	0.0174999864343409	2488153	156843400	0.23660875983146	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
1	2	80	13	-0.460804966190245	1.64861676232491	7	-0.460804966190245	NA	156843642	172415546	0.278090381611292	1	0	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
1	3	285	36	0.265029426183203	0.013812028272493	14	0.257929578369679	0.0153432738723871	175869554	245977996	0.269302201374513	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
2	4	1044	137	0.268501006515721	0.014472412030314	14	0.257929578369679	0.0153432738723871	4717089	242801100	0.269302201374513	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
3	5	1039	96	0.205656661015179	0.0128868859923609	13	0.200723323119934	0.0244152198926195	1449872	197351150	0.238158648770012	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
4	6	565	82	0.0960686922023785	0.00191096947862032	11	0.0960686922023785	0.00191096947862032	1402650	190262408	0.306353722601659	4	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
5	7	206	19	0.281208852963291	0.0471976880726982	14	0.257929578369679	0.0153432738723871	218500	53875364	0.269302201374513	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
5	8	63	6	-0.549750048861962	2.80795767331257	6	-0.549750048861962	NA	56111500	58088300	0.330504607908218	1	0	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
5	9	512	53	0.240667207454684	0.0376738846804118	14	0.257929578369679	0.0153432738723871	58205550	180527568	0.269302201374513	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
6	10	363	52	0.403812999307825	0.0457784960606826	18	0.402575554518758	0.0770823616074188	393175	82852544	0.330504607908218	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
6	11	242	22	-0.700730082461937	2.14635829444627	3	-0.700730082461937	2.14635829444627	89787221	119748259	0.28555274204681	0	0	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
6	12	214	25	0.226002135855631	-0.01638064559492	14	0.257929578369679	0.0153432738723871	119748350	170798912	0.269302201374513	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
7	13	794	77	0.338131803210061	0.0956936458037391	16	0.339172628381527	0.0784578945136253	1672599	158451100	0.330504607908218	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
8	14	279	42	0.402009821490371	0.110944595238569	18	0.402575554518758	0.0770823616074188	565303	145743000	0.330504607908218	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
9	15	634	49	0.152633234330322	0.0179425954613927	12	0.15718662711444	0.0174999864343409	421980	139820500	0.23660875983146	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
10	16	411	72	0.233789214372438	0.199215886040142	15	0.257929578369679	0.159718708559866	1510047	134199150	0.330504607908218	4	1	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
11	17	694	80	0.163438961179919	0.0374794457001541	12	0.15718662711444	0.0174999864343409	532700	133495676	0.23660875983146	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
12	18	93	5	0.610693701895528	0.126669966755254	21	0.612997817890999	NA	394600	4947332	0.330504607908218	7	NA	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
12	19	69	20	-0.631754368012168	4.32109504622986	4	-0.628675551172661	4.32109504622986	11664178	12021657	0.330504607908218	1	0	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
12	20	186	26	0.331384723328449	4.92681631285649	17	0.339172628381527	4.92681631285649	12022000	46125168	0.330504607908218	5	0	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
12	21	45	2	-0.619831102630128	1.62449942994941	5	-0.628675551172661	NA	46205255	46516200	0.330504607908218	1	0	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
12	22	486	46	0.197817280416567	0.0423312541632608	13	0.200723323119934	0.0244152198926195	46955150	133263886	0.238158648770012	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
13	23	456	50	0.196249882674475	0.0282442415851447	13	0.200723323119934	0.0244152198926195	21004738	112722350	0.238158648770012	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
14	24	243	35	0.356002445698219	0.0307740511609835	16	0.339172628381527	0.0784578945136253	19487500	105906024	0.330504607908218	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
15	25	68	10	0.402531161828585	0.0753414921722798	19	0.402575554518758	NA	20488750	41849686	0.330504607908218	5	NA	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
15	26	71	3	-1.31538565541049	1.91160359269449	1	-1.31538565541049	NA	41961191	42059619	0.330504607908218	0	0	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
15	27	257	30	0.276060193904948	0.000404689018103944	14	0.257929578369679	0.0153432738723871	45003588	99861641	0.269302201374513	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
16	28	731	75	-0.0701224873618971	0.0254493503378518	10	-0.0701224873618971	0.0254493503378518	115150	89883007	0.309029839308545	3	1	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
17	29	420	52	0.189607715890949	0.0276318064033327	13	0.200723323119934	0.0244152198926195	114669	33818200	0.238158648770012	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
17	30	272	15	-0.807693076819553	2.33272459301241	2	-0.807693076819553	2.33272459301241	37152369	43341994	0.330504607908218	0	0	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
17	31	327	37	0.16544139303602	0.00477452894956563	12	0.15718662711444	0.0174999864343409	43342141	80783009	0.23660875983146	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
18	32	231	34	0.209460102667899	0.0170615368817808	13	0.200723323119934	0.0244152198926195	724350	74387299	0.238158648770012	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
19	33	893	113	0.16321817584558	-0.00195636008467392	12	0.15718662711444	0.0174999864343409	1207021	58288169	0.23660875983146	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
20	34	377	31	0.244230570315273	0.0140199422028047	14	0.257929578369679	0.0153432738723871	345900	60426100	0.269302201374513	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
21	35	88	13	0.634418220182797	0.030758162369235	21	0.612997817890999	NA	10996050	39817350	0.330504607908218	7	NA	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
21	36	31	10	-0.331203084035035	2.41253940444069	8	-0.331203084035035	NA	39817500	42861550	NA	2	NA	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
21	37	88	19	0.295262998623418	0.0799115498304749	15	0.257929578369679	0.159718708559866	42866332	45660700	0.330504607908218	4	1	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
22	38	275	32	0.275306984043223	0.00948593569944613	14	0.257929578369679	0.0153432738723871	16345981	49370834	0.269302201374513	5	2	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
23	39	650	0	-0.212159856108047	0	9	-0.212159856108047	NA	451100	149924750	1	1	NA	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
24	40	38	2	0.5082214612346	-0.0934804431748721	20	0.5082214612346	NA	2655362	22930800	0.330504607908218	3	NA	"01-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.330504607908218	2.95866231678116
1	1	890	87	-0.01130036532627	0.0468837260284355	10	-0.00878401012564703	0.0246464910105467	2488153	156849176	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
1	2	66	11	-0.455413720338206	0.999411990830705	5	-0.455413720338206	NA	156849741	172415546	0.539992905897123	1	0	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
1	3	288	37	0.00828360754047225	0.0162870206580566	10	-0.00878401012564703	0.0246464910105467	175869554	245977996	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
2	4	1053	137	-0.00117190327834656	0.0137827944112979	10	-0.00878401012564703	0.0246464910105467	4717089	242801050	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
3	5	1050	95	-0.016980631921136	0.0312922243120123	10	-0.00878401012564703	0.0246464910105467	1449872	197351150	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
4	6	569	82	-0.045815665110175	0.004964261744925	10	-0.00878401012564703	0.0246464910105467	1402650	190262450	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
5	7	213	19	0.0529158541948536	0.0201254804070956	11	0.0711604239723172	0.0305253650957128	218461	56152600	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
5	8	61	7	-0.547523922246565	1.19152268481293	3	-0.560430811095018	NA	56155500	58988192	0.578395368821203	1	0	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
5	9	512	52	0.0220454580245182	0.0218467023640355	10	-0.00878401012564703	0.0246464910105467	59018033	180527629	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
6	10	350	42	0.0915191807737951	0.029721652826654	11	0.0711604239723172	0.0305253650957128	393250	54635900	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
6	11	270	33	-0.556157533952728	0.77526473912366	2	-0.560430811095018	0.744881120258995	58776487	121788800	0.587205618704783	1	0	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
6	12	213	25	-0.0219390559110528	0.0285078994268283	10	-0.00878401012564703	0.0246464910105467	122329200	170798891	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
7	13	272	36	-0.0271750593983219	0.00761246896456635	10	-0.00878401012564703	0.0246464910105467	1672650	63398458	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
7	14	527	41	0.187495016105702	0.120553165732313	12	0.189345063144911	0.120553165732313	64721550	158451100	0.504207048765012	3	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
8	15	284	43	0.0325492741891234	0.110704106058988	10	-0.00878401012564703	0.0246464910105467	565250	145742850	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
9	16	640	51	-0.0337415466248124	0.0149687464279611	10	-0.00878401012564703	0.0246464910105467	421860	139820500	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
10	17	91	35	-0.409643965982733	0.510757563507536	6	-0.409643965982733	0.510757563507536	1510047	43604800	0.587205618704783	0	0	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
10	18	332	37	-0.0247324848677438	0.00656821080291592	10	-0.00878401012564703	0.0246464910105467	43606630	134199150	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
11	19	700	80	-0.00453361780521688	0.0449082082951869	10	-0.00878401012564703	0.0246464910105467	532596	133495676	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
12	20	93	5	0.260143315119499	0.24733730393569	14	0.260143315119499	NA	394700	4947385	0.393233809520876	3	NA	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
12	21	301	47	-0.0756808683345657	1.9486281118015	8	-0.0820218253668663	1.9486281118015	11664178	46298850	0.587205618704783	2	0	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
12	22	489	47	0.000361697845616696	0.0371525624533148	10	-0.00878401012564703	0.0246464910105467	46516045	133263981	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
13	23	467	50	-0.0321239961990785	0.0274714938523514	10	-0.00878401012564703	0.0246464910105467	21004618	112722350	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
14	24	245	35	0.0144323934025232	0.013247305155225	10	-0.00878401012564703	0.0246464910105467	19487467	105906050	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
15	25	68	9	0.16689158501782	0.0104127062186579	13	0.189345063144911	NA	20488725	41849285	NA	2	NA	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
15	26	73	4	-0.667541661751764	0.709873784347337	1	-0.667541661751764	NA	41849686	42059619	0.587205618704783	1	0	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
15	27	260	30	-0.00184274978285873	0.0225536547904679	10	-0.00878401012564703	0.0246464910105467	45003700	99861516	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
16	28	736	76	-0.0879818372835445	0.0200567953649649	7	-0.0820218253668663	0.0200567953649649	115043	89883007	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
17	29	422	54	0.0132868150978282	0.0246974734800314	10	-0.00878401012564703	0.0246464910105467	114669	33818305	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
17	30	271	15	-0.566445580402586	0.697414099148207	2	-0.560430811095018	0.744881120258995	37152369	41276150	0.587205618704783	1	0	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
17	31	332	37	-0.0187282783930603	0.032103887883338	10	-0.00878401012564703	0.0246464910105467	41320250	80783009	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
18	32	234	34	-0.0165049492751662	0.016525486492077	10	-0.00878401012564703	0.0246464910105467	724300	74387299	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
19	33	901	114	-0.0212305991279157	0.00692639315970464	10	-0.00878401012564703	0.0246464910105467	1207037	58288169	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
20	34	379	31	0.013887866078473	0.0367954619700267	10	-0.00878401012564703	0.0246464910105467	345791	62680250	1	2	1	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
21	35	88	13	0.220642496038177	0.0280660583464735	13	0.189345063144911	NA	10996118	39817300	NA	2	NA	"02-IM5_P-0003616-N01-IM5/coun"	"cval=75/300/100::snp.nbhd=250"	0.587205618704783	2.02776999863671
