"ensembl_gene_id"	"hgnc_symbol"	"chromosome_name"	"start_position"	"end_position"	"external_gene_name"	"gene_biotype"
"ENSG00000230377"	"TCEB1P7"	"Y"	20694212	20694542	"TCEB1P7"	"pseudogene"
"ENSG00000250951"	"USP9YP1"	"Y"	20702866	20706014	"USP9YP1"	"pseudogene"
"ENSG00000185894"	"BPY2C"	"Y"	27177048	27208695	"BPY2C"	"protein_coding"
"ENSG00000230458"	"GPM6BP1"	"Y"	20740303	20740446	"GPM6BP1"	"pseudogene"
"ENSG00000131007"	"TTTY9B"	"Y"	20743092	20752407	"TTTY9B"	"antisense"
"ENSG00000240438"	"OFD1P5Y"	"Y"	20743949	20790963	"OFD1P5Y"	"pseudogene"
"ENSG00000172288"	"CDY1"	"Y"	27768264	27771049	"CDY1"	"protein_coding"
"ENSG00000235479"	"RAB9AP4"	"Y"	20811557	20812165	"RAB9AP4"	"pseudogene"
"ENSG00000249606"	"TRAPPC2P7"	"Y"	20817406	20818076	"TRAPPC2P7"	"pseudogene"
"ENSG00000242153"	"OFD1P6Y"	"Y"	20835919	20901083	"OFD1P6Y"	"pseudogene"
"ENSG00000236429"	"GPM6BP2"	"Y"	20903729	20903872	"GPM6BP2"	"pseudogene"
"ENSG00000249501"	"USP9YP2"	"Y"	20938165	20941313	"USP9YP2"	"pseudogene"
"ENSG00000228193"	"TCEB1P14"	"Y"	20949636	20949966	"TCEB1P14"	"pseudogene"
"ENSG00000248573"	"PRYP6"	"Y"	20952595	20952937	"PRYP6"	"pseudogene"
"ENSG00000230904"	"XKRYP2"	"Y"	20973224	20973715	"XKRYP2"	"pseudogene"
"ENSG00000238135"	"USP9YP10"	"Y"	20987993	20991373	"USP9YP10"	"pseudogene"
"ENSG00000269393"	""	"Y"	28111776	28114889	"AC007965.1"	"protein_coding"
"ENSG00000224151"	"USP9YP28"	"Y"	20994888	21001199	"USP9YP28"	"pseudogene"
"ENSG00000251970"	"RNU1-41P"	"Y"	20995615	20995776	"RNU1-41P"	"snRNA"
"ENSG00000238088"	"OFD1P7Y"	"Y"	21010150	21029166	"OFD1P7Y"	"pseudogene"
"ENSG00000251841"	"RNU6-1334P"	"Y"	2652790	2652894	"RNU6-1334P"	"snRNA"
"ENSG00000237659"	"RNASEH2CP1"	"Y"	2657868	2658369	"RNASEH2CP1"	"pseudogene"
"ENSG00000232195"	"TOMM22P2"	"Y"	2696023	2696259	"TOMM22P2"	"pseudogene"
"ENSG00000217179"	"MTCYBP2"	"Y"	21033988	21034158	"MTCYBP2"	"pseudogene"
"ENSG00000227289"	"HSFY3P"	"Y"	2749724	2751693	"HSFY3P"	"pseudogene"
"ENSG00000229163"	"NAP1L1P2"	"Y"	2797042	2799161	"NAP1L1P2"	"pseudogene"
"ENSG00000176728"	"TTTY14"	"Y"	21034387	21239302	"TTTY14"	"lincRNA"
"ENSG00000233070"	"ZFY-AS1"	"Y"	2834885	2870667	"ZFY-AS1"	"antisense"
"ENSG00000223600"	"EEF1A1P41"	"Y"	2863108	2863314	"EEF1A1P41"	"pseudogene"
"ENSG00000231535"	"LINC00278"	"Y"	2870953	2970313	"LINC00278"	"lincRNA"
"ENSG00000217896"	"ZNF839P1"	"Y"	21147061	21148284	"ZNF839P1"	"pseudogene"
"ENSG00000185275"	"CD24P4"	"Y"	21154353	21154595	"CD24P4"	"pseudogene"
"ENSG00000252766"	"RNU6-255P"	"Y"	21180869	21180973	"RNU6-255P"	"snRNA"
"ENSG00000234529"	"GAPDHP19"	"Y"	21489455	21490459	"GAPDHP19"	"pseudogene"
"ENSG00000215580"	"BCORP1"	"Y"	21617317	21665039	"BCORP1"	"pseudogene"
"ENSG00000131002"	"TXLNG2P"	"Y"	21729199	21768160	"TXLNG2P"	"pseudogene"
"ENSG00000234652"	"AGPAT5P1"	"Y"	3161849	3162867	"AGPAT5P1"	"pseudogene"
"ENSG00000216777"	"PRRC2CP1"	"Y"	3417693	3417851	"PRRC2CP1"	"pseudogene"
"ENSG00000232927"	"USP12PY"	"Y"	3550846	3551909	"USP12PY"	"pseudogene"
"ENSG00000225653"	"RNF19BPY"	"Y"	3646038	3647587	"RNF19BPY"	"pseudogene"
"ENSG00000218410"	""	"Y"	3719265	3720910	"AC012078.2"	"pseudogene"
"ENSG00000229518"	"UBE2V1P3"	"Y"	3734347	3734763	"UBE2V1P3"	"pseudogene"
"ENSG00000229308"	""	"Y"	3904538	3968361	"AC010084.1"	"lincRNA"
"ENSG00000252900"	"RNU6-303P"	"Y"	4043026	4043131	"RNU6-303P"	"snRNA"
"ENSG00000225878"	"SERBP1P2"	"Y"	4669726	4670889	"SERBP1P2"	"pseudogene"
"ENSG00000252468"	"RNU2-57P"	"Y"	4887117	4887307	"RNU2-57P"	"snRNA"
"ENSG00000231341"	"VDAC1P6"	"Y"	5075256	5076110	"VDAC1P6"	"pseudogene"
"ENSG00000235001"	"EIF4A1P2"	"Y"	5205786	5207005	"EIF4A1P2"	"pseudogene"
"ENSG00000214207"	"KRT18P10"	"Y"	5441186	5442472	"KRT18P10"	"pseudogene"
"ENSG00000252059"	""	"Y"	5441969	5442060	"AC012667.1"	"miRNA"
"ENSG00000235175"	"RPL26P37"	"Y"	5661341	5661778	"RPL26P37"	"pseudogene"
"ENSG00000251879"	""	"Y"	5742287	5742379	"AC010874.1"	"miRNA"
"ENSG00000237195"	"DLGAP5P1"	"Y"	6026843	6027306	"DLGAP5P1"	"pseudogene"
"ENSG00000251275"	""	"Y"	6109809	6111670	"AC006335.2"	"pseudogene"
"ENSG00000237069"	"TTTY23B"	"Y"	6110487	6111651	"TTTY23B"	"lincRNA"
"ENSG00000250204"	""	"Y"	6111336	6113324	"AC006335.6"	"pseudogene"
"ENSG00000234830"	"FAM197Y9"	"Y"	6124308	6131994	"FAM197Y9"	"pseudogene"
"ENSG00000238235"	"TSPY11P"	"Y"	6134634	6137316	"TSPY11P"	"pseudogene"
"ENSG00000234583"	"TSPY19P"	"Y"	6171998	6173115	"TSPY19P"	"pseudogene"
"ENSG00000235094"	""	"Y"	6174083	6175961	"AC006335.10"	"pseudogene"
"ENSG00000242879"	""	"Y"	6175751	6177628	"AC006335.11"	"pseudogene"
"ENSG00000223744"	"RBMY2GP"	"Y"	6196093	6211364	"RBMY2GP"	"pseudogene"
"ENSG00000267793"	""	"Y"	21760074	21760643	"RP11-576C2.1"	"pseudogene"
"ENSG00000269291"	""	"Y"	15418467	15429181	"AC010877.1"	"protein_coding"
"ENSG00000154620"	"TMSB4Y"	"Y"	15815447	15817904	"TMSB4Y"	"protein_coding"
"ENSG00000260197"	""	"Y"	21853827	21856492	"RP11-424G14.1"	"lincRNA"
"ENSG00000237997"	"RCC2P2"	"Y"	22148461	22149738	"RCC2P2"	"pseudogene"
"ENSG00000232522"	"ZNF886P"	"Y"	22163071	22174090	"ZNF886P"	"pseudogene"
"ENSG00000129864"	"VCY"	"Y"	16097652	16098393	"VCY"	"protein_coding"
"ENSG00000228764"	"ZNF885P"	"Y"	22551937	22558682	"ZNF885P"	"pseudogene"
"ENSG00000129862"	"VCY1B"	"Y"	16168097	16168838	"VCY1B"	"protein_coding"
"ENSG00000229643"	"LINC00280"	"Y"	6225260	6229454	"LINC00280"	"lincRNA"
"ENSG00000229236"	"TTTY10"	"Y"	22627554	22681114	"TTTY10"	"lincRNA"
"ENSG00000225624"	"TBL1YP1"	"Y"	22889140	22904786	"TBL1YP1"	"pseudogene"
"ENSG00000224482"	"HSFY4P"	"Y"	22970662	22973695	"HSFY4P"	"pseudogene"
"ENSG00000129816"	"TTTY1B"	"Y"	6258472	6279605	"TTTY1B"	"lincRNA"
"ENSG00000212856"	"TTTY2B"	"Y"	6274285	6292186	"TTTY2B"	"lincRNA"
"ENSG00000165246"	"NLGN4Y"	"Y"	16634518	16957530	"NLGN4Y"	"protein_coding"
"ENSG00000237563"	"TTTY21B"	"Y"	6311475	6315118	"TTTY21B"	"lincRNA"
"ENSG00000147753"	"TTTY7"	"Y"	6317509	6325947	"TTTY7"	"lincRNA"
"ENSG00000216844"	""	"Y"	23005142	23005596	"AC009494.3"	"pseudogene"
"ENSG00000229551"	"GAPDHP17"	"Y"	23023223	23024223	"GAPDHP17"	"pseudogene"
"ENSG00000185700"	"TTTY8B"	"Y"	6338814	6341671	"TTTY8B"	"lincRNA"
"ENSG00000226504"	"TMEM167AP1"	"Y"	23069230	23069448	"TMEM167AP1"	"pseudogene"
"ENSG00000254488"	""	"Y"	23200175	23206610	"RP11-65G9.1"	"lincRNA"
"ENSG00000237427"	"TOMM22P1"	"Y"	23292756	23293067	"TOMM22P1"	"pseudogene"
"ENSG00000232634"	"NEFLP1"	"Y"	23382992	23383975	"NEFLP1"	"pseudogene"
"ENSG00000226918"	""	"Y"	23473154	23480781	"AC010086.1"	"pseudogene"
"ENSG00000223637"	"RBMY2EP"	"Y"	23556877	23563471	"RBMY2EP"	"pseudogene"
"ENSG00000235895"	""	"Y"	6361017	6364798	"AC010154.2"	"pseudogene"
"ENSG00000232620"	"TSPY17P"	"Y"	6388504	6388970	"TSPY17P"	"pseudogene"
"ENSG00000224953"	"SRIP3"	"Y"	6587003	6587221	"SRIP3"	"pseudogene"
"ENSG00000129873"	"CDY2B"	"Y"	19989290	19992100	"CDY2B"	"protein_coding"
"ENSG00000233634"	"GOT2P5"	"Y"	6705748	6706293	"GOT2P5"	"pseudogene"
"ENSG00000236615"	""	"Y"	23567656	23567881	"AC010086.5"	"pseudogene"
"ENSG00000237701"	"ATP5JP1"	"Y"	6768794	6769413	"ATP5JP1"	"pseudogene"
"ENSG00000232583"	"GPR143P"	"Y"	6968774	6974543	"GPR143P"	"pseudogene"
"ENSG00000099725"	"PRKY"	"Y"	7142013	7249589	"PRKY"	"pseudogene"
"ENSG00000237269"	"RBMY2TP"	"Y"	23592583	23599131	"RBMY2TP"	"pseudogene"
"ENSG00000235719"	""	"Y"	23627270	23629049	"AC010141.1"	"pseudogene"
"ENSG00000169849"	"TSPY14P"	"Y"	23630044	23632569	"TSPY14P"	"pseudogene"
"ENSG00000182415"	"CDY2A"	"Y"	20137667	20140477	"CDY2A"	"protein_coding"
"ENSG00000169811"	"RBMY1HP"	"Y"	23655405	23663854	"RBMY1HP"	"pseudogene"
"ENSG00000252633"	"RN7SKP282"	"Y"	7192338	7192636	"RN7SKP282"	"misc_RNA"
"ENSG00000251996"	""	"Y"	7209572	7209683	"Y_RNA"	"misc_RNA"
"ENSG00000252155"	"RNU6-941P"	"Y"	7246713	7246820	"RNU6-941P"	"snRNA"
"ENSG00000252472"	"RNU6-521P"	"Y"	7291095	7291199	"RNU6-521P"	"snRNA"
"ENSG00000238073"	"RBMY2HP"	"Y"	7539784	7544065	"RBMY2HP"	"pseudogene"
"ENSG00000223422"	""	"Y"	7546940	7549069	"AC007274.2"	"pseudogene"
"ENSG00000172468"	"HSFY1"	"Y"	20708557	20750849	"HSFY1"	"protein_coding"
"ENSG00000236435"	"TSPY12P"	"Y"	7555780	7557589	"TSPY12P"	"pseudogene"
"ENSG00000236690"	""	"Y"	7558552	7560719	"AC007274.5"	"pseudogene"
"ENSG00000225520"	"TTTY16"	"Y"	7567398	7569288	"TTTY16"	"lincRNA"
"ENSG00000234795"	"RFTN1P1"	"Y"	7581026	7677302	"RFTN1P1"	"pseudogene"
"ENSG00000237048"	"TTTY12"	"Y"	7672965	7678724	"TTTY12"	"lincRNA"
"ENSG00000215603"	"ZNF92P1Y"	"Y"	7721727	7722917	"ZNF92P1Y"	"pseudogene"
"ENSG00000244246"	"ZNF736P8Y"	"Y"	7781463	7782131	"ZNF736P8Y"	"pseudogene"
"ENSG00000229745"	"BPY2DP"	"Y"	7801038	7805681	"BPY2DP"	"pseudogene"
"ENSG00000169953"	"HSFY2"	"Y"	20893326	20990548	"HSFY2"	"protein_coding"
"ENSG00000241200"	"ZNF736P7Y"	"Y"	7859028	7859847	"ZNF736P7Y"	"pseudogene"
"ENSG00000239893"	"ZNF736P9Y"	"Y"	7936937	7938764	"ZNF736P9Y"	"pseudogene"
"ENSG00000227204"	"RBMY2JP"	"Y"	7995171	8012244	"RBMY2JP"	"pseudogene"
"ENSG00000225809"	"RBMY2KP"	"Y"	8132490	8145229	"RBMY2KP"	"pseudogene"
"ENSG00000242393"	""	"Y"	23670185	23672356	"AC010141.4"	"pseudogene"
"ENSG00000228257"	""	"Y"	23693725	23695897	"AC010141.6"	"pseudogene"
"ENSG00000227989"	""	"Y"	23717738	23719956	"AC010141.8"	"pseudogene"
"ENSG00000184991"	"TTTY13"	"Y"	23745486	23756552	"TTTY13"	"lincRNA"
"ENSG00000271123"	"TCEB1P5"	"Y"	23793569	23793901	"TCEB1P5"	"pseudogene"
"ENSG00000226042"	"CDY10P"	"Y"	23799361	23800927	"CDY10P"	"pseudogene"
"ENSG00000237023"	"USP9YP3"	"Y"	23823812	23835894	"USP9YP3"	"pseudogene"
"ENSG00000229416"	"USP9YP8"	"Y"	23839132	23843004	"USP9YP8"	"pseudogene"
"ENSG00000230029"	"CDY11P"	"Y"	23858456	23860106	"CDY11P"	"pseudogene"
"ENSG00000269084"	""	"Y"	21737895	21738068	"AC009977.1"	"protein_coding"
"ENSG00000215601"	"TSPY24P"	"Y"	8148239	8150250	"TSPY24P"	"pseudogene"
"ENSG00000224634"	"ZNF736P6Y"	"Y"	8218972	8220184	"ZNF736P6Y"	"pseudogene"
"ENSG00000223955"	"MTND6P1"	"Y"	8231577	8232000	"MTND6P1"	"pseudogene"
"ENSG00000012817"	"KDM5D"	"Y"	21865751	21906825	"KDM5D"	"protein_coding"
"ENSG00000234179"	"MTCYBP1"	"Y"	8232073	8233191	"MTCYBP1"	"pseudogene"
"ENSG00000229725"	""	"Y"	24017478	24019697	"AC007322.1"	"pseudogene"
"ENSG00000251618"	""	"Y"	24041541	24043706	"AC007322.3"	"pseudogene"
"ENSG00000227444"	""	"Y"	24065082	24067253	"AC007322.5"	"pseudogene"
"ENSG00000226529"	"MTND1P1"	"Y"	8239704	8240071	"MTND1P1"	"pseudogene"
"ENSG00000234850"	"MTND2P3"	"Y"	8240282	8240751	"MTND2P3"	"pseudogene"
"ENSG00000227830"	"TRIM60P3Y"	"Y"	8281078	8282095	"TRIM60P3Y"	"pseudogene"
"ENSG00000216824"	"ZNF736P10Y"	"Y"	8286832	8287941	"ZNF736P10Y"	"pseudogene"
"ENSG00000232348"	"LINC00279"	"Y"	8506335	8512883	"LINC00279"	"lincRNA"
"ENSG00000233699"	"TTTY18"	"Y"	8551411	8551919	"TTTY18"	"lincRNA"
"ENSG00000232419"	"TTTY19"	"Y"	8572513	8573324	"TTTY19"	"lincRNA"
"ENSG00000180910"	"TTTY11"	"Y"	8651351	8685423	"TTTY11"	"lincRNA"
"ENSG00000228207"	""	"Y"	8769244	8771317	"AC007967.2"	"pseudogene"
"ENSG00000173357"	""	"Y"	8774265	8784114	"AC007967.3"	"pseudogene"
"ENSG00000226092"	"RBMY2AP"	"Y"	24073668	24083297	"RBMY2AP"	"pseudogene"
"ENSG00000237968"	""	"Y"	24086159	24087740	"AC007322.7"	"pseudogene"
"ENSG00000231159"	"OFD1P8Y"	"Y"	24118460	24151496	"OFD1P8Y"	"pseudogene"
"ENSG00000232475"	"HSFY5P"	"Y"	24194701	24195494	"HSFY5P"	"pseudogene"
"ENSG00000229553"	"USP9YP17"	"Y"	24195902	24204260	"USP9YP17"	"pseudogene"
"ENSG00000228850"	"CDY12P"	"Y"	24210845	24211859	"CDY12P"	"pseudogene"
"ENSG00000232029"	"TCEB1P15"	"Y"	24214967	24215298	"TCEB1P15"	"pseudogene"
"ENSG00000230025"	""	"Y"	8839792	8842136	"AC007967.4"	"pseudogene"
"ENSG00000231988"	"OFD1P3Y"	"Y"	8898635	8908029	"OFD1P3Y"	"pseudogene"
"ENSG00000232235"	"CDY3P"	"Y"	9003694	9005311	"CDY3P"	"pseudogene"
"ENSG00000224408"	"USP9YP22"	"Y"	9021303	9023412	"USP9YP22"	"pseudogene"
"ENSG00000238154"	"USP9YP4"	"Y"	9027238	9042220	"USP9YP4"	"pseudogene"
"ENSG00000232924"	"TCEB1P4"	"Y"	9068524	9068856	"TCEB1P4"	"pseudogene"
"ENSG00000236951"	""	"Y"	24246961	24293631	"AC007359.6"	"lincRNA"
"ENSG00000197038"	"RBMY1A3P"	"Y"	9148739	9160483	"RBMY1A3P"	"pseudogene"
"ENSG00000131548"	"TTTY6B"	"Y"	24291113	24292978	"TTTY6B"	"antisense"
"ENSG00000232808"	"TTTY20"	"Y"	9167489	9172441	"TTTY20"	"antisense"
"ENSG00000229159"	"TSPY23P"	"Y"	24329997	24332168	"TSPY23P"	"pseudogene"
"ENSG00000225560"	"FAM197Y8"	"Y"	9185120	9193010	"FAM197Y8"	"antisense"
"ENSG00000225615"	"RBMY2UP"	"Y"	24344576	24349859	"RBMY2UP"	"pseudogene"
"ENSG00000229234"	"RBMY1KP"	"Y"	24355478	24362727	"RBMY1KP"	"pseudogene"
"ENSG00000215560"	"TTTY5"	"Y"	24442945	24445023	"TTTY5"	"lincRNA"
"ENSG00000229940"	"TSPY22P"	"Y"	24452072	24454098	"TSPY22P"	"pseudogene"
"ENSG00000243040"	"RBMY2FP"	"Y"	24455006	24467972	"RBMY2FP"	"pseudogene"
"ENSG00000259247"	"TTTY25P"	"Y"	24476599	24478647	"TTTY25P"	"pseudogene"
"ENSG00000237902"	"TSPY21P"	"Y"	24546550	24548715	"TSPY21P"	"pseudogene"
"ENSG00000235059"	""	"Y"	24585087	24631739	"AC008175.1"	"lincRNA"
"ENSG00000131538"	"TTTY6"	"Y"	24585740	24587605	"TTTY6"	"lincRNA"
"ENSG00000228383"	"FAM197Y7"	"Y"	9205412	9235047	"FAM197Y7"	"antisense"
"ENSG00000234131"	"TCEB1P8"	"Y"	24663389	24663720	"TCEB1P8"	"pseudogene"
"ENSG00000224873"	"CDY13P"	"Y"	24666828	24667842	"CDY13P"	"pseudogene"
"ENSG00000230814"	"USP9YP24"	"Y"	24674428	24682786	"USP9YP24"	"pseudogene"
"ENSG00000228571"	"HSFY7P"	"Y"	24683194	24683996	"HSFY7P"	"pseudogene"
"ENSG00000230476"	"OFD1P9Y"	"Y"	24727136	24760228	"OFD1P9Y"	"pseudogene"
"ENSG00000224657"	"RBMY2BP"	"Y"	24795392	24805025	"RBMY2BP"	"pseudogene"
"ENSG00000188656"	"TSPY7P"	"Y"	9215731	9218480	"TSPY7P"	"pseudogene"
