sample	target	ratio
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	11	1.04166666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	12	0.983333333333333
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	13	1.01666666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	14	1.06666666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	15	0.966666666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	16	0.966666666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	17	1.01666666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	18	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	19	1.04166666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	20	0.983333333333333
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	21	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	22	0.966666666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	23	0.733333333333333
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000044_M001_d__s_C_000044_N002_d/facets/s_C_000044_M001_d__s_C_000044_N002_d/s_C_000044_M001_d__s_C_000044_N002_d.snp_pileup.gz	24	0.733333333333333
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	1	0.984848484848485
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	2	1.03787878787879
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	3	0.984848484848485
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	4	1.04545454545455
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	5	1.07575757575758
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	6	1.03030303030303
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	7	1.01515151515152
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	8	1.00378787878788
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	9	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	10	0.984848484848485
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	11	1.01515151515152
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	12	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	13	1.04545454545455
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	14	1.04545454545455
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	15	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	16	0.977272727272727
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	17	0.984848484848485
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	18	1.01515151515152
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	19	0.984848484848485
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	20	0.973484848484849
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	21	0.984848484848485
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	22	0.931818181818182
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	23	0.727272727272727
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000053_M001_d__s_C_000053_N002_d/facets/s_C_000053_M001_d__s_C_000053_N002_d/s_C_000053_M001_d__s_C_000053_N002_d.snp_pileup.gz	24	0.757575757575758
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	1	1.03174603174603
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	2	0.9921875
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	3	0.98046875
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	4	1.00787401574803
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	5	1.00787401574803
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	6	1.06746031746032
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	7	0.984375
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	8	0.9765625
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	9	1.02362204724409
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	10	1.00787401574803
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	11	1.03174603174603
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	12	0.96875
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	13	1.00787401574803
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	14	1.07142857142857
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	15	0.96875
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	16	0.9609375
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	17	1.00787401574803
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	18	1.02362204724409
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	19	1.02362204724409
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	20	0.9453125
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	21	0.96875
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	22	0.9609375
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	23	0.703125
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000054_M001_d__s_C_000054_N002_d/facets/s_C_000054_M001_d__s_C_000054_N002_d/s_C_000054_M001_d__s_C_000054_N002_d.snp_pileup.gz	24	0.7734375
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	1	1.00404858299595
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	2	1.04065040650407
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	3	0.975806451612903
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	4	1.04048582995951
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	5	1.05691056910569
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	6	1.09016393442623
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	7	1.02024291497976
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	8	1.02857142857143
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	9	1.04878048780488
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	10	1.00813008130081
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	11	1.01639344262295
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	12	0.983870967741935
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	13	1.04065040650407
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	14	1.08571428571429
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	15	0.983870967741935
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	16	0.959677419354839
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	17	1.00406504065041
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	18	1.00813008130081
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	19	1.00813008130081
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	20	0.943548387096774
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	21	0.967741935483871
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	22	0.943548387096774
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	23	0.75
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000235_M001_d__s_C_000235_N003_d/facets/s_C_000235_M001_d__s_C_000235_N003_d/s_C_000235_M001_d__s_C_000235_N003_d.snp_pileup.gz	24	0.774193548387097
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000416_P002_d__s_C_000416_N002_d/facets/s_C_000416_P002_d__s_C_000416_N002_d/s_C_000416_P002_d__s_C_000416_N002_d.snp_pileup.gz	1	1.01388888888889
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000416_P002_d__s_C_000416_N002_d/facets/s_C_000416_P002_d__s_C_000416_N002_d/s_C_000416_P002_d__s_C_000416_N002_d.snp_pileup.gz	2	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000416_P002_d__s_C_000416_N002_d/facets/s_C_000416_P002_d__s_C_000416_N002_d/s_C_000416_P002_d__s_C_000416_N002_d.snp_pileup.gz	3	1
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000416_P002_d__s_C_000416_N002_d/facets/s_C_000416_P002_d__s_C_000416_N002_d/s_C_000416_P002_d__s_C_000416_N002_d.snp_pileup.gz	4	1.04166666666667
/juno/work/tempo/wes_repo/Results/v1.3.x/cohort_level/MSKWESRP/somatic/s_C_000416_P002_d__s_C_000416_N002_d/facets/s_C_000416_P002_d__s_C_000416_N002_d/s_C_000416_P002_d__s_C_000416_N002_d.snp_pileup.gz	5	1.04166666666667
